serial_no,organization_name,nhia_hmo_id,website,address,email,phone,state_hint,source_url,extracted_at
1,A&M HEALTHCARE TRUST LIMITED,102,https://amhmo.com/,"Plot U Bekaji Road, Opposite Bekaji Jumma'at Mosque, Jimeta, Yola, Adamawa State",info@amhmo.com,"08033646497, 09162788582, 08024143666",Adamawa,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
2,AIICO MULTISHIELD NIGERIA LIMITED,6,https://www.aiicomultishield.com/,"322, IKORODU ROAD, ANTHONY",info@aiicomultishield.com loshunniyi@aiicomultishield.com,O7026744353 O8056744353,Niger,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
3,ALLEANZA HEALTH MANAGEMENT LIMITED,111,https://alleanzahealth.com/individual-plans/,"? 83B, Basheer Shittu Avenue, Magodo Estate, Phase 2, Shangisha, Lagos",info@alleanzahealth.com,O7036592835,Lagos,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
4,ALLY HEALTHCARE LIMITED,119,,"Suit C4 Plot 1196 Ndjamena Crescent, Wuse II, Abuja",allyhealthcarelimited@gmail.com,O8148808171,FCT,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
5,AMAN HEALTH MAINTENANCE ORGANIZATIONS,121,https://amanhmo.com/home,"? 1, M. M. Alkali Street, Off 442 Crescent, Citec Vilas Gwarinpa, Abuja",info@amanhmo.com,O8100588906,FCT,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
6,ANCHOR HMO INTERNATIONAL COMPANY LIMITED,76,https://anchorhmo.com/,GOLDCREST MALL BUILDING,info@anchorhmo.com,"O8031230306, O7058890062, O7080601192",,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
7,ASHMED INTEGRATED HEALTH SERVICES LTD.,89,https://ashmedintegratedhealthservices.com/,"RE 013 ZUNGERU CLOSE BY BIMA ROAD NITEL QUARTERS, KADUNA",info@ashmedintegratedhealthservices.com,O7036035182,Kaduna,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
8,AVON HEALTHCARE LIMITED,63,https://www.avonhealthcare.com/,"22B, GLOVER ROAD",info@avonhealthcare.com,"O8102659972, O7002779800",,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
9,AXA MANSARD HEALTH LIMITED,59,https://www.axamansard.com/health/plans/,"177, IKORODU ROAD, ONIPANU, LAGOS",healthcare@axamansard.com,O700AXAMANSARD,Lagos,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
10,BASTION HEALTH LIMITED,97,https://bastionhmo.com/,"UBN HOUSE NO 1 ADEOLA ODEKU STREET, VICTORIA ISLAND, LAGOS, ETI OSA, LAGOS, Nigeria",Naomiduku@bastionhmo.com,0802BASTIONHMO 08002278466,Lagos,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
11,BONITAS HEALTH MAINTENANCE LIMITED,120,,"No. 7 Birabi Street, GRA phase 1, Port Harcourt, Rivers State",info@bonitashmo.org,O9164113000,Rivers,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
12,CENTURY MEDICAID SERVICES LIMITED,99,https://www.centurymedicaid.org/,"36 OKOROJI STREET, D/LINE, PORT HARCOURT, PORT HARCOURT CITY LGA, RIVERS STATE, Nigeria","info@centurymedicaid.org, centurymedicaid@yahoo.com","08090235044, 09087000193, 09087000192",Niger,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
13,CLEARLINE INTERNATIONAL LIMITED,3,https://clearlinehmo.com/,"290, IKORODU ROAD, ANTHONY, LAGOS",info@clearlinehmo.net clearline_int@yahoo.com,"O8076490111, O8076490101, O14482520",Lagos,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
14,DEFENCE HEALTH MAINTENANCE LIMITED,22,https://www.dhmlnigeria.com,"2 HAMINA CLOSE, ABUJA",info@dhmlnigeria.com,"O7037921025, 08069305886",FCT,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
15,Delog Medical Services Ltd. (HMO),117,https://delogmedicalhmo.com/,"? 369, Borno Way, Alagomeji, Yaba, Lagos",info@delogmedicalhmo.com,O8128300972,Borno,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
16,DOHEEC INTERNATIONAL HEALTHCARE LIMITED HMO,115,https://doheec.com/,"2nd Floor, 34/36, Association Avenue, Ilupeju, Lagos",info@doheec.com,"O9069431050, O9078945165",Lagos,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
17,DOT HMO Ltd.,100,https://hmo.dot.ai/,"MJS House, 366 Murtala Mohammed Way (Opposite Polaris Bank), Yaba, Lagos",support@dot.aihelp@dot.ai,07000368466 (calls) 08170369507 (WhatsApp Only),Lagos,https://www.nhia.gov.ng/hmo/,2026-04-23T08:51:41.746Z
