serial_no,organization_name,state,director,phone,email,website,address,source_url,extracted_at
1,Abia State Health Insurance Agency (ABSHIA),ABIA,Dr. Ubani - Ukoma C,08036019421,Chidou2@yahoo.com,http://abshia.com.ng/,"100 Aba Road, HMB Premises, Umuahia, Abia",https://www.nhia.gov.ng/sshias/,2026-04-23T08:51:41.746Z
2,Adamawa State Contributory Health Management Agency.(ASCHMA),ADAMAWA,Halima. S. Abubakar,08069115355,ajmalyaya@gmail.com,https://aschma.org/,"State Secretariat Complex, Yola, Adamawa",https://www.nhia.gov.ng/sshias/,2026-04-23T08:51:41.746Z
3,Akwa Ibom State Health Insurance Agency,AKS,Dr. Peter Inyang,08037457756,Peterinyang2008@gmail.com,,,https://www.nhia.gov.ng/sshias/,2026-04-23T08:51:41.746Z
4,Anambra State Health Insurance Agency (ASHIA),ANAMBRA,Dr. Simeon Onyemaechi,08036740872,Belmaechi1@gmail.com,https://www.ashiang.org/,"Road 1, Abuja Estate, Venerable Prof. Ben Okeke Avenue, Opp. Government House, Anambra State",https://www.nhia.gov.ng/sshias/,2026-04-23T08:51:41.746Z
5,Bauchi State Health Contributory Management Agency (BASHCMA),BAUCHI,Dr. Mansur M. Dada,08034508669,mansurmdg@gmail.com,https://bashcma.com/,"Bello Kirfi Road, Off Murtala Mohammed Way, Bauchi",https://www.nhia.gov.ng/sshias/,2026-04-23T08:51:41.746Z
6,Benue State Health Insurance Agency (BNSHIA),BENUE,Anthony D Egwu,07080095556,egwudanielanthony@gmail.com,https://bnshia.be.gov.ng/,"Benue State Health Insurance Agency , No. 9 Ogiri Oko Road, Makurdi",https://www.nhia.gov.ng/sshias/,2026-04-23T08:51:41.746Z
7,BORNO STATE CONTRIBUTORY HEALTH CARE MANAGEMENT AGENCY (BOSCHMA),BORNO,Dr. Abba K Saleh,08021212770,drabbasaleh@gmail.com,https://boschma.bo.gov.ng/home,"State Secretariat Complex, Maiduguri,",https://www.nhia.gov.ng/sshias/,2026-04-23T08:51:41.746Z
8,Bayelsa Health Insurance Scheme (BHIS),Bayelsa,Dr. Agadah Z.,08061359729,agadahzuoboeni@yahoo.com,https://bhis.by.gov.ng/,"State Secretariat Complex, Yenagoa, Bayelsa",https://www.nhia.gov.ng/sshias/,2026-04-23T08:51:41.746Z
9,Cross River State Health Insurance Agency (CRSHIA),CRS,Iyala Okara Godwin,08027560036,iyalago@gmail.com,https://www.ebshia.eb.gov.ng/,"30 Barrack Road, Calabar,",https://www.nhia.gov.ng/sshias/,2026-04-23T08:51:41.746Z
10,Delta State Contributory Health Commission (DSCHC),DELTA,Dr. Ben Nkechuka,08055251757,ben@dschc.org.ng,https://dschc.org.ng/index.html,"State Secretariat Complex, Asaba, Delta State",https://www.nhia.gov.ng/sshias/,2026-04-23T08:51:41.746Z
