serial_no,facility_name,provider_type,state,lga,city,address,phone,email,accreditation_hint,latitude,longitude,geocode_status,source_url,extracted_at,source_code
nhia_hcp_0001,Sancta Maria Specialist & Mat.,hospital,Abia,,,"No. 22 Constitution Crescent, Aba, P.O.BOX 3332,Abia state.",,,NHIA directory code AB/0001/P,,,area,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,AB/0001/P
nhia_hcp_0002,ABIA STATE UNIVERSITY TEACHING HOSPITAL,hospital,Abia,,,"Ayaba, Umueze Abayi Aba",,,NHIA directory code AB/0004/P,,,area,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,AB/0004/P
nhia_hcp_0003,AMARA JANE HOSPITAL AND MATERNAL,hospital,Abia,,,,,,NHIA directory code AB/0200/P,,,area,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,AB/0200/P
nhia_hcp_0004,Austin Grace Hospital,hospital,Abia,,,"16, Okigwe Road, Aba.",,,NHIA directory code AB/0031/P,,,area,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,AB/0031/P
nhia_hcp_0005,Daughters Of Mary Mother Of Mercy Hospital,hospital,Abia,,,"AhiaekeNdume, UmuahiaAbia State",,,NHIA directory code AB/0175/P,,,area,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,AB/0175/P
nhia_hcp_0006,DSS Clinic,clinic,Abia,,,"Umuahia, Abia State",,,NHIA directory code AB/0090/P,,,area,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,AB/0090/P
nhia_hcp_0007,El-Shaddai hospital,hospital,Abia,,,"40 AHOADA STREET, UMUAHIA.",,,NHIA directory code AB/0113/P,,,area,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,AB/0113/P
nhia_hcp_0008,"Federal Medical Centre, Umuahia",clinic,Abia,,,"Aba Road, Umuahia, Abia State.",,,NHIA directory code AB/0014/P,,,area,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,AB/0014/P
nhia_hcp_0009,"General Hospital, Ama-Achara",hospital,Abia,,,"Ama-Achara, Umuahia",,,NHIA directory code AB/0018/P,,,area,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,AB/0018/P
nhia_hcp_0010,HEALING CROSS HOSPITAL,hospital,Abia,,,"KLM 2, OFF BENDE ROAD, UMUAHIA, ABIA STATE.",,,NHIA directory code AB/0107/P,,,area,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,AB/0107/P
nhia_hcp_0011,John Okorie Memorial Hospital,hospital,Abia,,,"12-14 AKABUOGU STREET OFF P.H ROAD, ABA",,,NHIA directory code AB/0007/P,,,area,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,AB/0007/P
nhia_hcp_0012,Living Word Hospital,hospital,Abia,,,"5/7 Umuocham Street, Aba.",,,NHIA directory code AB/0024/P,,,area,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,AB/0024/P
nhia_hcp_0013,LIVING WORD HOSPITAL ABA NORTH-,hospital,Abia,,,ABIA STATE,,,NHIA directory code AB/0026/P,,,area,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,AB/0026/P
nhia_hcp_0014,Madonna Catholic Hospital,hospital,Abia,,,"Ohokobe Afaraukwu Aba Road,Umuahia. Abia State",,,NHIA directory code AB/0194/P,,,area,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,AB/0194/P
nhia_hcp_0015,New Era Hospital & Maternity,clinic,Abia,,,90b Oji River Street Umuzukwu Layout,,,NHIA directory code AB/0041/P,,,area,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,AB/0041/P
