source,provider_name,provider_type,address_raw,city,state,website,phone,email,notes
reliance,Reliance Family Clinics – Abuja,family_clinic,"48 Yaounde Street, Wuse Zone 6, Abuja",Abuja,FCT Abuja,,,,
reliance,Pison Hospital,hospital,"3535 Gado Nasko Road, by MTN Junction, Phase 4, Kubwa, Abuja",Abuja,FCT Abuja,,,,
reliance,St Catherine’s Specialist Hospital- Abuja,specialist_hospital,"6 Odienna Close, Off Libreville Street, Off Aminu Kano Crescent, Wuse II, Abuja",Abuja,FCT Abuja,,,,
reliance,Prime care Hospital,hospital,"Plot 75, Road 321, Off 3rd Avenue, Gwarimpa, Abuja",Abuja,FCT Abuja,,,,
reliance,LOCUS EYE CLINIC- wuse,eye_clinic,"3 Fez Crescent, Off Kumasi Crescent, Off Aminu Kano Crescent, Wuse 2, Abuja",Abuja,FCT Abuja,,,,
reliance,BETHEL DENTAL CLINIC – WUSE 2,dental_clinic,"No. 26 Monrovia Street, Opposite NTIC, Wuse 2, Abuja",Abuja,FCT Abuja,,,,
reliance,XCELL Gym and Spa,gym_spa,"9 Waziri Ibrahim Crescent, Off Abubakar Abdulsalam Way, Gudu, Abuja",Abuja,FCT Abuja,,,,
reliance,Paelon Memorial Clinic- ikeja,clinic,"9 Ajao Road, Off Adeniyi Jones, Ikeja, Lagos",Lagos,Lagos,,,,
reliance,Ultimate Eye Clinic – Ikoyi,eye_clinic,"26 Keffi Road, S.W. Ikoyi, Lagos",Lagos,Lagos,,,,
reliance,Afrimed Specialist Hospital,specialist_hospital,"1B Williams Street, Off Diya Street, Behind GTBank, Sawmill, Gbagada, Lagos",Lagos,Lagos,,,,
reliance,Healing Stripes Hospital Oniru,hospital,"Royal Estate, 6A/B Prince Alaba Oniru Way, Victoria Island Extension, Lagos",Lagos,Lagos,,,,
reliance,Golden Cross Infirmary (Hospital & Maternity),hospital_maternity,"2nd Avenue, 22 Road, Festac Town, Lagos",Lagos,Lagos,,,,
reliance,Lifeline Children Hospital – Lekki1,childrens_hospital,"Augustine Anozie Street, Off Admiralty Way, Lekki Phase 1, Lagos",Lagos,Lagos,,,,
reliance,Acron Medical Consultants,medical_centre,"No 1 Acron Avenue, Behind 28 Stadium Road, G.R.A. Phase IV, Port Harcourt",Port Harcourt,Rivers,,,,
reliance,Bechs Specialis Hospital,specialist_hospital,"33 Psychiatric Hospital Road, Rumuigbo, Port Harcourt",Port Harcourt,Rivers,,,,
reliance,ST. Catherine’s Specialist Hospital -Rivers,specialist_hospital,"14 Trans Woji Road, Woji, Port Harcourt",Port Harcourt,Rivers,,,,
reliance,Faramed Clinics- Joju road,clinic,"37 Akinwunmi Street, Joju Road, Sango Ota, Ogun State",Sango Ota,Ogun,,,,
reliance,Hetta Medical Centre,medical_centre,"15 Martina Road, Sango Ota, Ogun State",Sango Ota,Ogun,,,,
reliance,Beachland Specialist Hospital,specialist_hospital,"16 Al-Fridaus Estate, Arepo, Off Lagos-Ibadan Expressway, Ogun State",Arepo,Ogun,,,,
reliance,Pal Clinic,clinic,"Ekurede Urhobo Street, Inside Mark Asore Estate, Off Ogunu Road, Warri, Delta State",Warri,Delta,,,,
reliance,Regal Hospital- warri,hospital,"226 Jakpa Road, Warri, Delta State",Warri,Delta,,,,
reliance,Dentoba Dental Clinic,dental_clinic,"7 Obada Close, Near Hotel Excel, Off Refinery Road, Warri, Delta State",Warri,Delta,,,,
reliance,Samaritan Clinic/ Hospital,clinic_hospital,"7 Ekong Uko Street, Eket, Akwa Ibom State",Eket,Akwa Ibom,,,,
reliance,Cozar Specialist Hospital,specialist_hospital,"No. 6 Main School Road, Off Hospital Road, Eket, Akwa Ibom State",Eket,Akwa Ibom,,,,
reliance,Smile Well Dental Clinic Limited,dental_clinic,"No 405 Oron Road, By Dan Bassey Street, Mbiabong Uyo, Akwa Ibom State",Uyo,Akwa Ibom,,,,
reliance,Niger Optical Services,optical_centre,"152 Niger Bridge Approach Road, MCC, Onitsha, Anambra State",Onitsha,Anambra,,,,
reliance,Harmony Specialist Hospital Awka Anambra State,specialist_hospital,"5 Orogbu Street, Awka, Anambra State",Awka,Anambra,,,,
reliance,HEPHZIBAH EYE CLINIC- Anambra,eye_clinic,"40 High Court Road, by Kwata Roundabout, Awka, Anambra State",Awka,Anambra,,,,
